files,sents,target
Cu 2 Fe 3 同步 硝化 省略 硝化 过程 N 2 O 释放 特征 影响,结果表明 适宜 浓度 下 Cu2 Fe3 均 能够 强化 SND 过程 脱氮 效率 ； 长期 Fe3 投加 抑制 反应器 中聚 磷菌 生长 活性 使 系统 总 磷 去除率 下降 2.3 11.7 ； Cu2 投 加强 化 亚 硝酸盐还原酶 N2O 还原酶 （ N2OR ） 活性 降低 N2O 累积 释放 ； Fe3 投加 刺激 SND 反应器 N2O 产生 Fe3 强化 一氧化氮 还原酶 （ NOR ） 活性 NOR N2OR 活性 比值 上升 导致 N2O 积累 ； Fe3 投加 降低 SND 过程 厌氧 阶段 聚 羟基 脂肪酸酯 合成 导致系统 聚糖 菌 聚磷菌 竞争 占据 优势 促进 N2O 产生 ； 高浓度 Cu2 Fe3 抑制 系统 微生物活性 导致 脱 下降 N2O 积累,1
Cu 2 Fe 3 同步 硝化 省略 硝化 过程 N 2 O 释放 特征 影响,废水 金属离子 Cu2 Fe3 同步 硝化 反 硝化 （ SND ） 污水处理 过程 污染物 去除 温室气体 氧化亚氮 （ N2O ） 释放 特征 影响 进行 研究 分析 影响 机理,0
C语言 安全 编译器 研究,计算机 应用 越来越 广泛 互联网 不断扩大 信息安全 越来越 重要,0
C语言 安全 编译器 研究,互联网 众多 系统 面临 越来越 安全 挑战 大 挑战 源于 缓冲 溢出 攻击 此类 攻击 主要 形式 堆栈 溢出 攻击,0
C语言 安全 编译器 研究,缓冲 溢出 攻击 原因在于 C C++程序 缺乏 相应 安全机制 程序 漏洞,0
C语言 安全 编译器 研究,堆栈 溢出 缓冲 溢出 相对 出现 堆栈 溢出 攻击程序 比较 容易 实现 尤其 需要 重点关注,0
C语言 安全 编译器 研究,堆栈 溢出 利用 程序 边界条件 检查 不 严谨 修改 堆栈 上 局部变量 过程 完成 注入 攻击 代码 更改 程序运行 流程 任务,0
C语言 安全 编译器 研究,缓冲 溢出 攻击 可能 得到 远程访问 系统 管理员权限 众多 攻击方式 尤为 危险,0
C语言 安全 编译器 研究,目前 已有 众多 方法 用来 防御 堆栈 溢出 攻击 大致 程序 编译 角度 操作系统 内核 cpu 体系结构 方面 着手,0
C语言 安全 编译器 研究,影响 较大 Stackguard 堆栈 放置 Canary 检测 堆栈 是否 溢出 ； stackshield 保存 堆栈 返回地址 保证 程序流程 正确 ； libsafe 提供 安全 库 替换 标准 不 安全 库 ； soloaris linux使用 不可 执行 堆栈 ；,0
C语言 安全 编译器 研究,方式 方法 后续 研究 开拓 思路,0
C语言 安全 编译器 研究,简要 介绍 GCC 前端 内容,0
C语言 安全 编译器 研究,GCC 前端 目的 源代码 生成 AST 语法分析 树 再 AST 树 生成 RTL 中间 表示,0
C语言 安全 编译器 研究,后 RTL 中间 表示 交给 GCC 后端 进一步 处理,0
C语言 安全 编译器 研究,进一步 分析 这种 结构 安全性 兼容性 问题,0
C语言 安全 编译器 研究,简要 说明 GCC 修改 实现 分离 堆栈 程序运行 时 环境,0
C语言 安全 编译器 研究,方案 试图 编译 角度 着手 使用 开源软件 GCC 试验 起点,0
C语言 安全 编译器 研究,本文 的终 目的 提出 两种 分离 数据 控制 堆栈 程序运行 时 环境,1
ERP 手工 沙盘 教学 辅助 软件 设计 实现,ERP 手工 沙盘 一种 新型 体验 为主 教学方式 完全 不同于 传统 教学 提倡 理论 实践 一体化 理论知识 融合 实践 操作过程,0
ERP 手工 沙盘 教学 辅助 软件 设计 实现,提供 一种 方式 学生 角色扮演 参与 整个过程 亲身 体验 巩固 理论知识 转换成 技能,0
ERP 手工 沙盘 教学 辅助 软件 设计 实现,这种 教学方式 强化 学生 理论知识 训练 学生 专业技能 提高 学生 综合 素质 都 极 好处,0
ERP 手工 沙盘 教学 辅助 软件 设计 实现,本文 主要 内容 业务 功能 技术 实现 两个 方面 阐述 业务 功能 囊括 手工 沙盘 整个 流程 包括 贷款 购买 原材料 开发 产品 购置 厂房 新建 生产线 投放 广告 选取 订单 订单 交货 一系列 环节,0
ERP 手工 沙盘 教学 辅助 软件 设计 实现,系统 角色 分成 系统管理员 学生 学生 三种 不同 角色 不同 业务 实现 功能 权限 分别 设计 前台 界面 操作 简洁 易懂 用户 体验 良好,0
ERP 手工 沙盘 教学 辅助 软件 设计 实现,技术 实现 系统 采取 B S 体系 架构 J2EE框架 基础 上 基于 M VC编程 模式 实现 软件开发,0
ERP 手工 沙盘 教学 辅助 软件 设计 实现,保证系统 正确性 可靠性 稳定性 系统 功能性 测试 浏览器兼容性 测试 两个 方面 进行 全面 测试,0
ERP 手工 沙盘 教学 辅助 软件 设计 实现,本文 详细 调研 高效 模拟 沙盘 实训 课程 需求 基础 上 需求分析 得到 该软件 应该 具备 具体 功能 业务逻辑 软件工程思想 展开 数据库设计 程序开发 系统测试 流程,0
ERP 财务 信息管理系统 设计 开发,信息技术 快速 发展 许多 企业 希望 信息化建设 提高 企业管理 经营 水平 增强 行业 竞争力,0
ERP 财务 信息管理系统 设计 开发,目前 ERP系统 实施 运用 企业 提高 竞争力 重要 方式 期望 ERP系统 实现 信息流 资金流 物流 统一 获取 最大 经济效益 使 企业 能够 现有 资源 进行 有效 调配,0
ERP 财务 信息管理系统 设计 开发,财务管理 模块 ERP系统 核心 部分 需要 实时 采集 企业 信息 ERP系统 采购 模块 生产 模块 库存 模块 销售 模块 进行 信息 集成 实现 企业 经营活动 事前 预算 事 控制 进行 有效 管理,0
ERP 财务 信息管理系统 设计 开发,ERP 财务 系统 设计 需要 业务流程 进行 实施 优化 优化 企业财务 流程 确保 系统 有效性,0
ERP 财务 信息管理系统 设计 开发,本文 对系统 相关 技术 业务流程 优化理论 研究 德邦 物流 有限公司 主要 财务 业务流程 特点 ERP系统 财务 管理系统 构建 方案 进行 研究,0
ERP 财务 信息管理系统 设计 开发,论文 采用 用例图 方式 进行 详细 系统需求 分析 需求分析 提出 财务 管理系统 总体 架构 对系统 模块 设计方案 进行 阐述 ； 论文 对系统 实现 方法 进行 研究 对系统 表示层 业务逻辑 层 系统 主要 功能模块 实现 方法 进行 讨论 ； 最后 论文 构建 财务 管理系统 进行 系统测试 验证 设计方案 可行性 和可靠性,0
ERP 财务 信息管理系统 设计 开发,本文 研究 EPR 财务 管理系统 采用 软件工程 设计思想 系统架构设计 采用 J2EE 三层架构 采用 架构 能够 使 系统 具有 较好 扩展性 跨平台 特点 能够 使 表示层 业务逻辑 层 数据 层 互相 分离 用户 提供 完整 及时 准确 财务 信息 降低 财务 工作 劳动强度 有效 提高 财务部门 工作效率 满足 了德邦 物流 有限公司 财务管理 工作 需要,1
HX 茶叶 公司 电子商务 营销 模式 研究,我国 国民经济 发展 茶叶 消费市场 增加 迅速 中国 茶 逐步 公认 21 世纪 最 健康 饮品 国际化 市场 中国 茶叶 企业 提供 更 广泛 空间 机遇,0
HX 茶叶 公司 电子商务 营销 模式 研究,电子商务平台 拓展 茶叶 市场 推广 茶叶 品牌 无疑 茶 企 制定 整体 战略规划 需要考虑 布局 核心 问题,0
HX 茶叶 公司 电子商务 营销 模式 研究,HX 茶叶 公司 一家 专业 高端 品牌 茶叶 企业 十几年 精心 经营 品牌 建设 公司 传统 商务 领域 特别 高端 茶叶 领域 取得 卓越 成绩 掌握 稳定 品牌 客户群,0
HX 茶叶 公司 电子商务 营销 模式 研究,电子商务 兴起 发展 茶叶行业 竞争 态势 加剧 HX 茶叶 公司 越来越 感到 市场 品牌 增长 乏力 急需 寻求 新 突破,0
HX 茶叶 公司 电子商务 营销 模式 研究,本文 HX 茶叶 公司 开展 电子商务 营销 模式 进行 研究 企业 制定 科学合理 营销战略,0
HX 茶叶 公司 电子商务 营销 模式 研究,论文 分析 当前 国内 茶叶行业 市场营销 状况 传统 茶叶 市场 茶叶 电子商务 市场 营销 现状 分析 研究 提出 当前 茶叶 传统 营销 活动 存在 主要 问题 人们 茶叶 电子商务 营销 认识 误区 ； 指出 茶叶 企业 想 电子商务 领域 取得 重大突破 必须 树立 正确 电子商务 营销 观念,0
HX 茶叶 公司 电子商务 营销 模式 研究,HX 公司 整体发展 战略 市场竞争 状况 角度 分析 公司 面临 宏观 社会 政治 经济 环境 竞争对手 情况 ； 研究 公司 开展 电子商务 营销 内外部 环境 状况 HX 公司 优势 劣势 面临 市场 机遇 挑战 进行 SWOT 矩阵分析,0
HX 茶叶 公司 电子商务 营销 模式 研究,上述 分析 为基础 提出 HX 公司 开展 茶叶 电子商务 营销 模式 应当 传统 领域 核心 竞争优势 电子商务 结合 电子商务 领域 进行 品牌 延伸 扩大 企业 品牌 影响力 实现 新 发展,0
HX 茶叶 公司 电子商务 营销 模式 研究,最后 基于 HX 公司企业 发展战略 SWOT 矩阵 分析 提出 HX 公司 开展 电子商务 网站 策略 价格 策略 产品 策略 促销 策略 品牌策略 具体 营销 策略 组合 营销 策略 具体措施 方案 进行 系统 选择 HX 茶叶 公司 开展 电子商务 制定 合适 营销 模式 战略 具有 重要 参考 意义,1
iOS应用 程序 攻击 手段 分析 防护,iOS 现今 主流 智能终端 操作系统 备受瞩目 苹果公司 iOS系统 采取 了闭 源 策略 使 相对 系统 更具 安全性 越狱 技术 存在 发展 恰恰 说明 iOS 平台 确实 存在 一定 安全隐患,0
iOS应用 程序 攻击 手段 分析 防护,越狱 不是 一个 通用 计算机 概念 苹果 社区 iOS 一些 强制性 限制 进行 突破 的比喻 性 说法 2.5 节 对此 详细 解释,0
iOS应用 程序 攻击 手段 分析 防护,iOS 智能终端 流行 越狱 合法化 引发 越狱 用户 队伍 壮大 攻击者 目光 转向 OS操作系统 必然 趋势 iOS系统 应用 安全性 分析 研究 越狱 iOS 带来 风险 抵御 非常 必要 客观 上 正统 iOS系统 安全机制 不断完善 起到 一定 促进作用,0
iOS应用 程序 攻击 手段 分析 防护,此基础 上 研究 OS操作系统 现有 安全机制 分析 可能 存在 一些 薄弱环节 指明 薄弱环节 可能引发 iOS应用 三大类 恶意 注入 手段,0
iOS应用 程序 攻击 手段 分析 防护,现有 文件 式 恶意 注入 手段 进行 分析 后 一种 最 具有 可操作性 手段 进行 改进 设计 iOS 平台 上 ROP 仿真 实验 随后 重点 提出 攻击 范围 更 广 基于 逆向工程 新型 恶意 注入 方法 结合 AppStore 下载 应用 设计 相关 测试 验证 此种 注入 方法 强大 攻击性,0
iOS应用 程序 攻击 手段 分析 防护,本文 主要 研究 内容 两个 部分 第一 论证 越狱 iOS应用 造成 威胁 进行 研究 必要性,1
iOS应用 程序 攻击 手段 分析 防护,第二 三类 恶意 注入 分析 研究 针对 各类 注入 法 暴露 iOS安全 机制 隐患 本文 研究 实现 几个 iOS应用 程序 安全 防护措施 加强 现有 密码 检测 机制 监测 力度 密码 长度 数字 字符 特殊符号 混杂 程度 本文 着重 易受攻击 键盘 上 特定 组合 进行 检测 ； 完善 iOS 内存保护 机制 利用 Objective C 对象 实现 内存 安全 擦除 保证 及时 文件 数据 每个 字节 都 做到 全 覆盖 防止 对象 跟踪 后 信息 遭到 泄露 ； 再次 维护程序 运行 时 安全性 上 提出 一种 贯穿 程序 调试 三个 阶段 反调试 机制 程序 调试 继续 跟踪 最终 恶意 修改 均 进行 跟踪 测试 最终 阻止 恶意 修改 目标 继续 执行,1
IPv6 Router 设计 实现,IPv6 代表 下一代 互联网 核心技术 已经 成为 业界 最 关注 话题 越来越 人们 都 希望 了解 学习 IPv6 地址 相关 知识 技术,0
IPv6 Router 设计 实现,IPv6 地址 技术 十年 才 磨一剑 原因,0
IPv6 Router 设计 实现,LinuxFreeBSD 操作系统 上 需要 安装 IPv6 相应 程序 安装 p5 Expect p5 Digest MD5 p5 YAML v6eval 3.3.0. tar gz DHCPv6 Self Test P2 1 1 0. tgz vel 5.0.0. tar gz Self Test 4 0 5. tgz 工具 软件包 用于 测试 IPv6 地址 功能,0
IPv6 Router 设计 实现,会 详细 介绍 报文格式 IPv6 地址 基本 首部 扩展 首部 数据 单元,0
IPv6 Router 设计 实现,IPv6 数据包 版本 流量 类型 流 标识 长度 生存时间 协议 校验和 偏移量 源地址 目的地址 进行 描述,0
IPv6 Router 设计 实现,最后 分析 说明 IGMPv6 报文 分类 路由 请求 路由 通告 邻居 请求 邻居 通告 重定向 DHCPv6 数据 报文 格式 分配 地址 流程 前缀 流程,0
IPv6 Router 设计 实现,实际 产品应用 需要 添加 一些 工具包 应用程序 配置参数 编写 shell脚本 配置 调用 相关 应用程序 才能 完成 IPv6 地址 连接,0
IPv6 Router 设计 实现,IPv6 网络地址 现代 信息 社会 最 重要 基础设施,0
IPv6 Router 设计 实现,中国 IPv6 硬件 设施 目前 网络 市场 尚未 完善 导致 开发 路由器 网络产品 时 不能 现有 网络 进行 测试 需要 搭建 IPv6Server 测试环境 开发 终端 路由 设备 才能 完成 路由器 新增 IPv6 功能 开发 工作,0
IPv6 Router 设计 实现,课题 主要 针对 IPv6 地址 协议 路由器 上 实现 进行 详细 讨论 分析 研究,0
IPv6 Router 设计 实现,主要 研究 内容 如下 1 LinuxFreeBSD 开发 平台搭建 IPv6 实验 服务器,0
IPv6 Router 设计 实现,2 本文 主要 技术 IPv6 地址 协议 应用 路由器 上 新增 IPv6 地址 协议 路由器 支持 IPv4 地址 协议 支持 IPv6 地址 协议,0
IPv6 Router 设计 实现,3 终端 路由器 设备 上 实现 IPv6 PPPoE 拔 号 连接 IPoE 连接 实现 IPv6Tunnel 技术 6 to4 L2TP IPv6Routing 隧道 技术 机制 手动 配置参数 DS Lite 6 RD 双栈 技术 功能 支持 实现 IPv6 多播 组 配置 实现,0
IPv6 Router 设计 实现,4 wireshark 工具 抓取 数据包 分析 报文 修改 配置 最终 路由器 上 实现 IPv6 功能 ； PPPoE 正确 连接 IPv6 服务器 地址 ； 路由器 DHCPv6 自动 分配 IPv6 地址 ； 手动 设置 StaticIPv6 地址 Link Localonly 连接,0
IPv6 Router 设计 实现,课题 主要 针对 IPv6 地址 基础 协议 报文格式 进行 分析 研究 用户 终端 路由器 上 增加 IPv6 地址 协议 功能 路由器 WAN 接口 LAN 接口 都 支持 IPv6 地址 协议,1
IPv6 环境 下 校园网 接入 认证 系统 设计 实现,网络接入 方面 安全控制 网络系统 安全 首要 考虑 问题,0
IPv6 环境 下 校园网 接入 认证 系统 设计 实现,网络 运营商 广域网 接入 方面 安全 控制技术 都 比较 成熟 园区网 内部 一些 内部 需要 保护 需要 涉及 资费 信息资源 网络资源 保护措施 显得 颇为 薄弱,0
IPv6 环境 下 校园网 接入 认证 系统 设计 实现,是因为 园区网 本身 点对点 广域网 相比而言 群体 相对 固定 最初 以太网 设计 固定 群体 纳入 可控 范围 不予 考虑 安全性 问题 赋予 足够 开放性 ； 二 是因为 实现 局域网 安全控制 会 产生 额外 通信 网络 建设成本 负担 ； 三 是因为 现有 技术 还 需要 改进 设计 ； 四 是因为 新 网络 技术标准 IPv6 带来 更 大 安全 方面 挑战,0
IPv6 环境 下 校园网 接入 认证 系统 设计 实现,用户 安全 有效 进行 联网 会 直接 影响 IPv6 园区网 普及 应用,0
IPv6 环境 下 校园网 接入 认证 系统 设计 实现,主要 内容 1 详细 研究 目前 主要 身份认证 技术 原理,0
IPv6 环境 下 校园网 接入 认证 系统 设计 实现,身份认证 各种技术 实现 方法 进行 深入 分析 归纳 出 接入 安全 方面 可行 认证 方法 技术,0
IPv6 环境 下 校园网 接入 认证 系统 设计 实现,2 设计 一个 校园网 安全 接入 计费 管理系统,0
