files,sents
地税网 上 办税服务厅 设计 实现,受 客观条件 限制 办税服务厅 工作人员 只能 保持 在一个 相对 固定 数量 办税 服务 空间 时间 传统 办税服务厅 都 难以 再 大 提升 . 依托 现代 信息技术 进行 网上 办税服务厅 建设 纳税人 提供 灵活 高效 办税 服务 切实 减轻 办税服务厅 工作人员 工作压力 已 成为 地税 部门 提高 办税 服务质量 迫切要求 势在必行 . 本文 结合 办税 服务 税收 征管 业务流程 运用 J2EE Oracle数据库 技术 搭建 地税网 上 办税服务厅 包含 身份认证 税务 登记 网上 申报 缴纳 税 （ 费 ） 打印 凭证 查询 统计 功能 实现 实体 办税服务厅 各项 业务 都 网上 办税服务厅 办理 纳税人 走 网路 少 走 马路 不断 优化 纳税 服务 提高 纳税 满意度 . 本文 提出 开发 地税网 上 办税服务厅 系统 背景 意义 期间 阅读 大量 国内外 文献 当前 国内外 网上 办税 发展 状况 开发 系统 所用 J2EE Oracle技术 MVC模式 进行 阐述 实际 办税服务厅 办税 场景 得出 网上 办税服务厅 业务需求 业务需求 整体 流程图 业务 框架图 具体 功能分析 . 随后 进行 系统设计 实现 总体设计 讨论 系统设计 原则 目标 明确 后 对系统 总体 运用 架构 业务 架构 部署 架构 进行 设计 ； 结合 系统 性能需求 对系统 数据库 进行 设计 得出 数据库 E R 图 表结构 设计 ； 进行 详细设计 实现 篇幅 关系 主要 讲述 系统 主要 功能 详细设计 实现 得出 系统 运行 ； 还 考虑 系统 安全 方面 设计 . 系统开发 完毕 进行 模块 功能测试 性能测试 达到 预期 效果 实现 预期 各项 业务 网上 办税服务厅 办理 减少 税务 人员 工作负荷 纳税人 等候时间 大幅度 提升 税务机关 办税 服务 智慧 化 水平 使 纳税人 办税 更 方便 更 快捷 更 有效率 提高 纳税人 满意度 . 
地税 部门 税收 业务培训 测评 系统 设计 实现,地税 部门 公职人员 税务 培训 提高 综合 素质 有效途径 . 开发 一项 针对 培训 工作 具有 应用性 培训 测评 系统 提升 地税 部门 工作人员 综合 业务素质 能力 关键所在 . 本文 税收 业务培训 工作 研究 背景 开发 基于 B S 平台 具有 实际 应用 价值 税收 业务培训 测评 系统 . 现阶段 我国 地税 部门 培训 考核 任务 大多数 还 依靠 着较 传统 不 便捷 人工 培训 考核 方式 培训 考核 方法 许多 角度 看来 都 有缺陷 已经 严重 制约 地税 部门 考核 工作 . 背景 下 网络 培训 发展 开辟 一条 新 途径 网络 培训 花费 小 满足用户 动态 需求 具有 统一 培训 标准 建立 一个 高效 税收 业务培训 测评 系统 具有 重要 意义 . 本文 针对 目前 地税 部门 培训评估 存在 不足 简要 分析 系统设计 开发过程 采用 核心技术 方法 综合利用 当下 最 流行 应用 最广泛 培训 网络 数据库应用 技术 热门 方法 地税 系统 人员 考核 工作 实际 需求 出发 采用 B S 模式 JSP 平台 设计 一个 适合 我国国情 税收 业务培训 测评 系统 体系结构 数据库结构 模块 内容 . 系统 地税 部门 培训 工作 测评 工作 进行 有效 融合 . 测试表明 系统 良好 运行 使 培训 测评 工作 高效 低成本 易于 管理 进行 . 
地铁 设备 维护 管理系统 设计 实现,设备 维修 管理系统 设备 台 帐 为基础 预先 定义 设备 预防性维修 策略 自动生成 维修 计划 维修 计划 所需 资源 进行 合理安排 生成 预防性维修 工单 发生 故障 设备 创建 故障 工单 . 工单 进行 检修 维修 作业 作业 完成 后 获取 工单 故障 成本 相关 信息 维修 活动 维修 成本 进行 分析 . 论文 正是 针对 上述 问题 设备 预防性维修 进行 理论 研究 提出 面向 轨道交通 行业 设备 预防维修 管理 模型 此基础 上 主要 进行 以下 方面 工作 1 本文 地铁 设备 管理业务 进行 详细 调研 基础 上 分析 地铁 设备管理 现状 用户需求 建立 地铁 设备 管理信息系统 功能模型 信息模型 . 2 B S 模式 三层 体系结构 分析 搭建 地铁 设备 维护 管理系统 总体 架构 . 3 地铁 设备 维修 过程 设计 一个 基于 J2EE 地铁 设备 维护 管理系统 多个 方面 进行 创新 进 测试 验证 系统 符合实际 设备管理 要求 . 系统 特点 主要 体现 以下 几个 方面 ) 系统设计 出 维修 分析 报表 模块 系统 维修 运行 数据 定时 在线 产生 分析 报表 ； ) 自动报警 ； ) 权限设置 灵活 细致 任意 功能 每个 按键 进行 权限分配 . 
地铁 车辆段 综合 管控 信息 平台 设计 实现,国内 城市 轨道交通 建设规模 不断扩大 很多 地铁 建成 后 投入 运营 保证 行车 运行 安全 车辆维护 工作 重要性 越来越 突出 . 目前 国内 城市 轨道交通 车辆 维修保养 方式 固定 周期 规划 几乎 没有 考虑 实际 设备 状态 过度 维修 缺乏 维修 车辆 普遍 导致 劳动力 费用 浪费 留下 安全隐患 . 本文 地铁 车辆段 信息化 管控 研究课题 重点 研究 地铁 车辆段 车辆 检修 管理 作业计划 制定 设备 全 生命周期管理 故障 管理 核心业务 详细 论述 一个 基于 B S 模式 地铁 车辆段 综合 管控 信息 平台 系统 设计 实现 过程 . 系统 XX 地铁 2 号线 车辆段 需求 背景 Microsoft Visual Studio 2008 Sqlserve r2 008 基础 开发平台 . 深入 车辆段 调研 核心 业务流程 进行 分析 完成 平台 系统 需求 工作 . 系统 用户 角色 分为 车辆段 检修 主任 检修 调度 质量 工程师 班组 用户 四个 类型 本文 描述 角色 业务 用例 系统内 外部接口 质量 属性 要求 界面 原型 . 进行 系统 总体设计 质量 属性 设计 组件 设计 模块 详细设计 接口设计 集成 设计 系统 划分 六个 模块 车辆设备 管理 检修 计划 管理 故障 管理 调度 派 工 管理 班组 作业管理 系统管理 针对 系统核心 业务 检修 计划 故障 提报 调度 派 工 管理 班组 作业 采用 UML 工具 画 出 模块 内部 逻辑 顺序图 . 系统 编码 实现 过程 设计 完成 前端 服务器端 编码 后 测试 后 形成 测试报告 . 系统 已经 投入运行 2 年 持续 完善 优化 逐步 车辆段 日常 工作流程 固化 系统 加强 内部 管控 实现 满足 地铁 车辆段 需要 管理体系 IT 治理 体系 促进 资源整合 有效 提高 运营 效率 降低 运营 成本 . 
地震 数据 三维图像 系统设计 实现,计算机技术 不断 发展 可视化 技术 各个领域 地位 日益突出 现在 已经 成为 一种 趋势 . 枯燥 数据 转化 更为 直观 图形 人们 更 容易 发现 数据 内部 之间 隐藏 规律 促进 生产 形成 巨大 经济效益 . 尤其 地质勘探 领域 地震 数据 可视化 更是 一种 前沿技术 研究 油藏 构造 隐蔽性 油气藏 储层 重要 手段 . 目前 地质 专家 迫切需要 一套 充分利用 地震 信息 直观 图形 复杂 数据 场 进行 描述 拥有 高精度 地震 数据可视化 软件 . 基于 上述 设计 一个 基于 地震 数据 三维图像 系统 . 系统 可视化 基本原理 基本 过程 为基础 使用 Qt OpenGL 技术 地震 数据可视化 系统 需求 实现 地震 数据管理 模块 数据解析 模块 可视化 模块 交互 模块 四大 模块 . 本文 简单 地震 数据可视化 系统 国内外 发展 现状 课题 研究 意义 进行 阐述 . 分析 可视化 基本原理 基本 过程 介绍 相关 技术 . 地震 数据可视化 系统 需求 对系统 进行 模块 划分 . 地震 数据 入手 详细分析 地震 数据 SEGY 格式 给出 读取 方法 提出 砖块 存储 方法 解决 读取 效率 ； 详细 介绍 波形 绘制 颜色 绘制 方法 纹理贴图 技术 使用 涉及 算法 进行 实现 分析 . 
城乡居民 养老保险 管理信息系统 设计 实现,2009 年 国家 开展 新农 保 信息化建设 以来 规范 全国 各省市 自主 开发 信息系统 方便 跨 地域 养老保险 关系 转移 国家 出台 一系列 标准规范 保证 全国 信息化 工作 一致 规范 出台 建立 全国 统一 标准化 信息系统 奠定 基础 . 人社部 要求 城乡居民 养老保险 信息系统 采用 省级 集中 方式 建设 数据 省级 集中 统筹 区域 共用 一套 信息系统 . 实现 数据 向上 集中 服务 向下 延伸 统筹 区域 共用 需要 灵活 柔性 城乡居民 养老保险 信息系统 . 本文 软件工程 角度 结合实际 工作 经验 潍坊市 城乡居民 信息化建设 需求 进行 深入分析 完成 课题 可行性 论证 分析 系统 功能需求 分析 ； 设计思想 应用 实际 软件 项目开发 工作 . 提出 一种 符合 J2EE 规范 采用 SOA 技术 实现 松耦合 易 集成 信息系统 开发框架 框架 ESB 企业服务总线 进行 信息系统 应用 集成 开发 城乡居民 养老保险 信息系统 更加 灵活 容易 扩展 能够 满足 各项 业务需求 ； 集中式 数据管理 分布式 资源管理 为基础 采用 O RMapping 映射 机制 实现 面向对象 开发 设计 实现 全市 城乡居民 业务办理 信息化 模块 用户界面 上 MVC模式 进行 控制 确保 系统 具有 高度 易用性 良好 扩展性 可移植性 . 系统使用 MVC 设计模式 业务 处理 业务逻辑 控制 业务 展示区 分开 系统 横向 MVC模式 分层 层 之间 采用 标准 XML 文档 传递数据 . 信息技术 发展 优势 城乡居民 工作 结合 起来 我国 城乡居民 养老保险 信息化 研究 重要 方面 . 本文 提到 城乡居民 养老保险 信息系统 建设 需求 系统 功能设计 总结 各地 业务需求 实际 研发 建设 工作 基础 上 提出 城乡居民 养老保险 信息化建设 具有 一定 参考 意义 . 
城市 轨道交通 一卡通 系统设计 实现,情况 下 城市 轨道交通 主要 采用 电能 动力 来源 采取 轮轨 运转 方式 兼顾 快速 大 运量 特点 公共交通 总称 . 现阶段 城市 轨道交通 种类 已经 很多 市郊 铁路 地铁 轻轨 有轨电车 悬浮 列车 采用 相同 原理 类型 获得 城市交通 主动脉 美誉 . 目前为止 很多 城市 都 推出 相对 应 城市 一卡通 城市 一卡通 一种 能够 解决 长期 使 公共交通 行业 非 公共交通 行业 困扰 自动 收费 问题 实际 方法 . 系统地 建设 能够 使 持卡 市民 全市 公交 车辆 长途客车 地铁 轻轨 出租车 公用事业 缴费 路桥 收费 停车 管理 报刊 销售 旅游门票 小额 餐饮 行业 消费 上 实现 卡 支付 管理 . 专门针对 城市 轨道交通 进行 设计 实现 一卡通 系统 目前 还 尚属 少数 . 本文 课题 选用 B S 开发模式 采用 ASP NET SQLSERVER2005 数据库 技术 ASP NET 三层 模型 架构 SQLServe r2 005 数据库引擎 安全可靠 存储 功能 搭建 一套 城市公共交通 一卡通 系统 系统 功能 架构 上 主要包括 管理 结算 子系统 数据采集 子系统 （ 数据复制 子系统 ） 数据分析 统计 子系统 用户 自助 子系统 四大 子系统 系统 整个 管理 流程 最 重要 核心 枢纽 交通 一卡通 管理中心 智能 IC卡 设定 为主 线 使 公交 地铁 出租 渡轮 多种 公共交通 行业 ； 用户 ； 银行 相互 联系 用户信息 主要 终端机 进行 获取 能够 实现 自动 支付 结算 划转 具体 信息管理 操作 . 系统 主要 特色 在于 能够 满足用户 便捷 交通 刷卡 自助 管理 卡片 信息管理 交通 站点 管理 智能化 信息统计 卡片 充值 功能 . 最终 达到 缓解 城市交通 压力 方便 人们 出行 提升 交通服务 效率 改善 交通服务 应用 价值 . 城市 轨道交通 一卡通 系统 功能实现 促进 我国 金融 发展 还 加快 我国 金融 迈向 现代化 脚步 一定 程度 上 提高 社会 运作 效率 人民 生活 工作 提供方便 . 一个 方面 来说 城市 建设 规划 管理 服务 方面 需要 展开 具体 工作 都 需要 系统 提供 详细 可靠 数据 相关 资料 我国 国民经济 能够 持续 健康 快速 发展 夯实 基础 . 
城市道路 积水 监控系统 设计 实现,城市化 发展 迅速 提升 城市排水 管网 系统 特别 大中型 城市 管网 系统 越来越 复杂 管理 难度 越来越 高 排水管 网 运营 管理 养护 策略 升级 改造 决策 提出 越来越 高 要求 . 国内 城市化 发展 大多 只 关注 速度 不 关注 市政 配套设施 建设 管网 运行 管理方面 缺乏 翔实 基础 资料 不 能够 实时 掌握 排水管 网 街道 积水点 真实 运行状况 更是 缺乏 相应 技术手段 养护 运营管理 方面 均 难以 评估 排水管 网 日常 养护 效果 . 排水管 网 供水 排水 能力 分析 调度 管理 上 缺少 技术 必要 数据 支持 遇到 紧急情况 无法 获得 真实 信息 无法提供 及时 动态 信息 更 无法 依据 动态 信息 制定 相应 应急措施 方案 . 依靠 传统 管理 思路 管理手段 已 越来越 不能 满足 现代化 城市排水 管网 运营 人们 生活 应用 需要 . 论文 正是 针对 城市化 过程 出现 积水 问题 数字 排水管 网 监控 管理 平台 建设 主要 研究 对象 深入分析 当前 城市排水系统 现状 问题 指出 建设 系统 重点 难点 提出 了能 足够 灵活处理 未来 排水 管理 扩展 系统架构 . 对系统 进行 需求分析 系统架构 系统 工作流程 界面 友好 化 系统 权限控制 安全性 五个 方面 道路 积水 监控系统 平台 进行 设计 制定 系统 基本框架 提出 系统 实现 构想 . 论文 实现 城市排水 管网 信息化 精确化 管理 . 管网 评估 养护 计划 高效 协调 应急预案 合理 指挥 有效 利用 提供 管理 依据 . 论文 实际 需求 分析 论证 道路 积水 监控系统 需求 功能 进行 研究 总结 最后 归纳 总结 系统 目前 存在 不足之处 使用 单位 要求 提出 了下 一步 系统 完善 工作思路 . 
城管 部门 电子政务 公文 审批 系统 设计 实现,电子政务 公文 审批 系统 公文 管理 审批 功能 成为 公文 审批 信息化 重要组成部分 有效 促进 城管 部门 公文 审批 效率 发挥 重要 作用 . 课题 利用 ASP NET 技术 设计 电子政务 公文 审批 系统 SQL数据库 研究 专门针对 城管 部门 公文 审批 数据 体系 形成 完整 公文 审批 数字化 平台 . 公文 审批 管理业务 工作 内容 城管 部门 电子政务 公文 审批 系统 进行 功能需求 分析 性能需求 分析 数据流分析 系统 设计 实现 明确 主要 研究 目标 方向 . 建立 公文 审批 系统 总体 结构 公文 审批 功能 模块 进行 详细 设计 建立 系统 UML 模型 包括 软件 序列图 状态图 流程图 用例图 建立 系统 数据库 设计 数据 信息 之间 E R 关系 图 建立 数据库 存储 表 包括 数据库结构 分析 逻辑结构 分析 设计 . 电子政务 公文 审批 系统 功能模块 详细设计 实现 总体设计 内容 详细设计 包括 公文 传输模块 发文 管理 模块 收文 管理 模块 公 文库 模块 系统管理 模块 道路 挖掘 审批 模块 占 道 管理 审批 模块 利用 C#语言 编程实现 操作 功能 ； 采用 面向对象 理论 UML建模 方法 完成 应用 系统需求 捕获 需求分析 系统设计 . 电子政务 公文 审批 系统 测试 分析 公文 数据 添加 公文 查询 公文 删除 公文 审批 操作 功能 运行 稳定 得出 系统 测试 性能 功能 指标 都 基本 符合 系统 基本 要求 . 课题 实现 设计 浏览 查询 添加 审批 城管 部门 公文 数据 功能 电子政务 公文 审批 系统 最大限度 实现 公文 管理 需求 专门化 集中化 规模化 促进 城管 部门 公文 审批 业务 快速 发展 具有 一定 价值 . 
基于 net 计算机设备 网上 报修 系统 设计 实现,计算机设备 维护 该校 实验室 管理 设备管理 重要 工作 内容 实验室 设备管理 日益 规范化 网络化 智能化 人们 逐步 认识 传统 电话 报修 方式 存在 诸多 问题 利用计算机 网络 建立 一个 实用 方便 高效 管理信息系统 提高 学校 信息化 水平 管理 能力 成为 学校 信息化建设 需要考虑 重要 问题 . 响应 学校 信息化建设 要求 杭州职业技术学院 实际 情况 设计 实现 计算机设备 网上 报修 系统 . 计算机 网上 报修 系统 学校 教师 实验室 管理员 提供 网络 报修 方式 学校 教师 实验室 管理员 上网 地方 进行 计算机设备 报修 这种方式 实时 方便 系统 提供 学校 计算机 办公设备 相关 硬件 保修期限 查询 功能 方便 教师 固定资产管理 部门 设备 送修 更换 报废 提供 依据 . 本文 软件开发 基本 过程 计算机设备 保修 相关概念 出发 给出 基于 .NET框架 ASP NET SQL 技术 计算机设备 网上 保修 系统 实现 方案 . 采用 目前 较为 流行 NET 技术 三层 B S 架构 实现 计算机设备 网上 保修 系统 上 应用 实现 包括 设备 档案 信息 查询 设备 报修 设备 报修单 处理 报修 设备 状态 查询 设备 报修单 查询 功能 . 论文 主要 内容 1. 介绍 分析 计算机设备 网上 报修 系统 研究 背景 意义 . 2. 计算机设备 报修 实际 出发 需求分析 可行性分析 最终 提炼出 数据 需求 . 3. 系统 采用 NET 技术 三层 B S 架构 实现 计算机设备 网上 报修 上 应用 采用 ASP NET 三层 体系结构 进行 程序开发 使用 SQLServe r2 005 后台 数据库 用户 浏览器 即可 实现 对系统 使用 管理 维护 . 4. 系统 模块化 方式 实现 计算机设备 网上 报修 系统 功能模块 界面 简洁 操作 简单 人机对话 丰富 . 
基于 AUTOSAR 通信模块 研究 实现,汽车产业 发展 人们 不断 汽车 动力 智能性 舒适性 提出 新 要求 新 希望 . 汽车电子 正是 解决 需求 诞生 . 中国 汽车产业 发展 较晚 汽车电子 产业 刚刚 起步 中国 汽车电子 产业 很 长 路 走 . 本文 正是 出于 开发 出更 高效 更具 移植性 汽车电子 软件 想法 调研 国外 基于 AUTOSAR 汽车电子 开发应用 汽车电子 领域 常用 通信协议 局部 互联网络 （ LIN ） 总线 协议 基础 之上 参照 AUTOSAR 标准 实现 基于 AUTOSAR LIN 总线 协议 通信系统 . 本文 通信系统 采用 分层 分 模块 设计思想 给出 LIN 总线 协议 驱动 层 LIN 总线 协议 接口 层 LIN 总线 协议 状态 管理层 实现 方法 数据 组成 一些 情景 逻辑 处理过程 . 通信 服务层 诊断 通信 管理 ( Diagnostic communication management DCM ) 协议数据单元 路由 ( Protocol data unit Router PDUR ) 通信 ( COM ) LIN 状态 管理 （ LIN State Management LinSM ） 四个 模块 组成 . PDUR 管理 每个 报文 路由 ； COM 负责 上层 应用 交互 收到 数据 时 数据 I PDU （ 交互 层 协议数据单元 ） 交由 PDUR 转发 下层 PDUR 获取 下层 传上来 数据 LIN 模块 COM 上层 做 数据交互 ； DCM 管理诊断 信息 大数据 通信 ； LIN 状态 管理 用于 管理 整个 LIN 总线 状态 （ 睡眠 唤醒 ） . 论文 主要 内容 总结 以下 几个 方面 1 分析 AUTOSAR 标准 系统架构 LIN 总线 协议 参照 AUTOSAR 设计 LIN 模块 系统架构 . 通信系统 独立 底层 硬件 操作系统 具有 良好 可移植性 可扩展性 . 2 具体 实现 基于 AUTOSAR LIN 总线 协议 通信系统 通信系统 支持 LIN2 .0 标准 下 节点 通信 支持 动态 增加 删除 子节 具有 配置 性 特点 . 3 MISRA 规范 做 深入 研究 使用 MISAR 规范 工具 LIN 总线 协议 驱动 LIN 总线 协议 接口 代码 做 检测 出现 问题 做 相应 解决 . 4 飞思 卡尔 （ FreeScale ） MC9S12XEP100 平台 下 KV ASER 工具 进行 测试 KA V ASA 工具 LIN 总线 机 节点 测试 测试 表 明 动态 增加 删除 节点 情况 下 整个 LIN 网络 运行 良好 正常 收发 数据 无漏 帧 错误 帧 出现 . LINSM 整个 总线 做 网络状态 管理 发 睡眠 命令 使 总线 进入 睡眠 状态 发 唤醒 命令 使 总线 睡眠 唤醒 . 5 LIN 总线 协议 驱动 LIN 总线 协议 接口 LINSM 标准 做 功能性 测试 符合 性 测试 全部 测试 .
基于 HLA 装备 作战 仿真 系统分析 实现,仿真技术 具有 安全性 经济性 可重复性 特点 具有 广阔 应用前景 . 已 成为 继 理论 研究 科学研究 之后 第三种 科学研究 有力 手段 . 仿真 科学 现代科学技术 发展 基础 上 形成 交叉科学 目前 国内 研究 仿真技术 方面 成果 系统 仿真 科学 技术 研究 尤其 军用 装备 作战 仿真 方面 研究 很少 本文 主要 研究 作 有益 尝试 . 装备 作战 仿真 基于 作战 模拟 分布 交互 仿真技术 虚拟 作战 环境 进行 装备 仿真 . 目的 全面 表现 电子战系统 作战 试验 态势 进程 对抗 效果 装备 作战 仿真 表现 出 电子战 试验 整个 战场 对抗 态势 表现 电子战 试验 环境 下 武器装备 对抗 状态 状态变化 过程 表现 出 装备 对抗 效果 直观 反映 出 装备 电子战 对抗 整个过程 . 装备 作战 仿真 军用 仿真 一个 新 方向 装备 作战 环境 人 有机 结合 一起 有效 克服 传统 作战 模拟 装备 仿真 不足 提高 仿真 可信度 . 军事装备 学 角度看 装备 作战 仿真 功能 装备 发展 仿真 装备 保障 仿真 装备管理 仿真 装备 训练 仿真 . 论文 主要 战役 级别 军事 仿真 应用 目标 装备 作战 基本概念 着手 分析 基于 HLA 装备 作战 仿真 系统 概念模型 当前 我军 指挥 训练 需求 时间 紧 任务 重 情况 下 采用 装备 作战 仿真 模拟训练 系统 提高 部队 战斗力 装备 作战 模拟 仿真 系统 功能 构成 实现 进行 初步 分析 探讨 . 实际 装备 作战 仿真 系统 开发 提供 一种 可行性 方案 宏观 上为 装备 作战 仿真 系统 设计 开发 提供 理论指导 . 
基于 LabWindows CVI 压电 测试 系统设计 实现,压电元件 传统 测量方法 利用 人工 积累 经验 为基础 进行 一定 程度 近视 等效 计算 完成 . 测试过程 精度 数据分析 受 客观因素 影响 较大 受 测试人员 主观因素 影响 非常大 . 影响 压电元件 品质 因素 很多 每个 因素 测量数据 分析 工作量 非常大 严重 影响 测试 效率 . 虚拟仪器 软件 核心 综合 计算机 软件 通信 控制 技术 利用软件 数据分析 资源管理 智能控制 方面 优势 解决 传统 测试 技术 遇到 困难 . 利用软件 虚拟 真实 仪表 降低 系统 成本 拓展 系统 功能 . 利用 通信技术 有效 管理 资源 提高 系统 利用率 . 基于 虚拟仪器 技术 优点 课题 基于 虚拟仪器 技术 利用 LabWindows CVI 虚拟仪器 软件开发 平台 实现 基于 网络 多用户 压电元件 测试 系统 . 本文 介绍 虚拟仪器 技术 发展 现状 改进 压电元件 测试 系统 作用 当前 存在 问题 进行 分析 . 此基础 上 提出 基于 虚拟仪器 技术 网络化 压电元件 测试 系统 实现 方案 . 方案 应用 主要 技术 应用 方法 进行 介绍 . 压电元件 品质 因素 分析方法 进行 研究 传统方法 存在 计算精度 问题 进行 分析 提出 基于 插值 算法 解决方法 . 结合 理论 算法 实践经验 梳理 设计 品质 因素 计算方法 利用 程序实现 . 利用 通信技术 设计 基于 TCP IP协议 网络 交互 程序 . 系统功能 需要 设计 数据交互 格式 定义 信息 具体 含义 此基础 上 设计 信息 编码 解码 传送 方法 设计 基于 通信 模式 系统架构 . 最后 利用 Visual C# 软件开发环境 SQLServe r2 005 数据库设计 实现 系统 客户端 服务器程序 提供 操作 简单 交互 UI . 利用 LabWindows CVI 虚拟仪器 开发环境 实现 硬件 设备 控制 端 . 利用 系统 提高 测试 效率 精度 实现 资源 充分利用 高效 管理 . 
基于 Nginx 高性能 Web服务器 性能优化 负载均衡 改进 实现,当今社会 无论是 政府机构 金融行业 工业生产 都 快速 发展 互联网 紧密 相关 特别 人们 日常生活 方式 生活 水平 更 互联网 到来 发生 巨大 改变 . 越来越 人 使用 互联网 爆炸式 并发 Web 访问 请求 互联网 带来 严峻 挑战 单一 Web服务器 很 难 准确 及时 迅速 响应 高并发 访问 请求 促使 人们 探索 新技术 以此 解决 问题 . 解决 问题 最 常用 技术 构建 集群 系统 . 集群 系统 下 服务器 共同 工作 以此 满足 人们 期望 服务器 快速 响应 准确 返回 访问 请求 . 集群 系统 最 核心 问题 负载均衡 负载均衡 最 主要 目的 合理 大量 并发 请求 分 发给 集群 服务器 提升 整个系统 吞吐量 资源 利用率 降低 请求 响应时间 . 负载均衡 算法 好坏 集群 系统 性能提升 决定性 作用 . 论文 Web服务器 Nginx 内置 负载均衡 算法 进行 分析 研究 提出 一种 动态 负载均衡 算法 利用 算法实现 一个 基于 Nginx Tomcat 服务集群 系统 . 集群 系统 利用 Httperf Autobench 软件 Nginx 内置 加权 轮询 算法 IPHash 算法 第三方 提供 fair 算法 一致性 Hash 算法 论文 提出 动态 算法 进行 性能测试 . 实验 结果表明 论文 提出 动态 算法 能够 更好 实现 负载均衡 具有 如下 几个 特点 ( 1 ) 选择 最优 服务器 负载均衡器 收集 负载 信息 服务器 剩余 负载 性能 权值 选择权 排名 前三 服务器 随机 选择 一台 服务器 处理 用户 请求 . 服务器 选中 概率 权值 比重 成正比 . 避免 一直 请求 分配 权值 最大 服务器 收集 信息 存在 一定 延迟 有时 权值 最大 服务器 处理 用户 请求 能力 不 一定 最好 . ( 2 ) 组群 管理 集群 系统 服务器进行 分组 每组 选定 一个 中央 节点 用于 收集 组中 服务器 负载 信息 最后 中央 节点 收集 负载 信息 再 反馈 负载均衡器 . 负载均衡器 无需 所有 服务器 通信 减少 负载均衡器 开销 . ( 3 ) 预防 假死 机制 服务器 处理能力 达到 极限 时 新 用户 请求 处理时间 会 剧增 . 避免 情况 发生 论文 记录 服务器 处理 请求 时间 用于 判断 是否 已经 处于 假死 状态 防止 再 新 请求 分配 服务器 . 
基于 overlay 视频 合成 系统设计 实现,计算机技术 软件技术 图像处理 技术 不断 发展 PC 显控 终端 雷达 扫描 视频 终端 显示 已经 一种 不可避免 走势 . 计算机 数字 领域 能够 完成 数据处理 工作 计算机软件 使用 使 雷达 扫描 视频 终端 显示 设计 变 更加 简单 . 软件 化 显控 终端 使 整个系统 具有 更 强 兼容性 扩展性 使 雷达 扫描 视频 终端 发展 追求 通用性 标准化 高 显示分辨率 目标 . 本文 视频 合成 系统 针对 雷达 扫描 视频 终端 显示 设计 实现 一款 软件 应用 overlay 思想 背景 地图 雷达 扫描 视频 合成 显示 终端 上 . 系统 提供 一个 良好 显示 操作界面 人 机器 之间 能够 更好 交互 . 雷达 扫描 视频 合成 系统 本文 还 实现 背景 地图 雷达 扫描 视频 漫游 缩放 功能 . 系统 运行 过程 漫游 缩放 事件 发生 时 合成 系统 有时候 会 出现 运行 不 流畅 现象 CPU 占用率 明显提高 很多 解决 问题 本文 使用 OpenCL 雷达 扫描 视频 合成 系统 进行 优化 处理 . 本文 主要 做 以下 几个 工作 （ 1 ） 研究 实现 Windows操作系统 下 驱动程序 编写 雷达 扫描 视频 终端 显示 需要 实时性 本文 编写 基于 PCI E 总线 设备驱动程序 设备 接收 雷达 扫描 视频 数据 DMA 方式 高速传输 PC 上 . （ 2 ） 本文 合成 系统应用 overlay 思想 背景 地图 雷达 扫描 视频 合成 不同 层 上 不是 一层 上 背景 地图 雷达 扫描 视频 进行 分层 处理 减少 合成 系统 处理过程 计算 ； 合成 系统 本文 还 设计 实现 背景 地图 扫描 视频 漫游 缩放 功能 . （ 3 ） 处理 雷达 扫描 视频 时 存在 大量 计算 问题 CPU 占用率 很 高 影响 合成 系统 整体 运行 性能 本文 使用 OpenCL GPU 并行计算 技术 雷达 扫描 视频 进行 加速处理 合成 系统 运行 起来 更加 流畅 . （ 4 ） 本文 合成 系统 进行 大量 测试 分别 DMA 数据 高速传输 驱动程序 测试 背景 地图 雷达 扫描 视频 合成 测试 合成 系统 OpenCL 优化 测试 比较 . 
